GameNum;GLOBAL_ALPHA;EPSILON;SUCESSRATE;TIME;
0;0,00100;0,20000;-1,00000;04.070;
10000;0,00100;0,20000;-0,95000;11.535;
20000;0,00100;0,20000;-1,00000;19.175;
30000;0,00100;0,20000;-1,00000;26.755;
40000;0,00100;0,20000;-1,00000;34.069;
50000;0,00100;0,20000;-1,00000;41.526;
60000;0,00100;0,20000;-1,00000;49.085;
70000;0,00100;0,20000;-1,00000;56.345;
80000;0,00100;0,20000;-1,00000;01:03.498;
90000;0,00100;0,20000;-1,00000;01:10.817;
100000;0,00100;0,20000;-1,00000;01:17.877;
110000;0,00100;0,20000;-1,00000;01:25.038;
120000;0,00100;0,20000;-1,00000;01:32.438;
130000;0,00100;0,20000;-0,95000;01:39.619;
140000;0,00100;0,20000;-1,00000;01:46.955;
150000;0,00100;0,20000;-0,95000;01:54.328;
160000;0,00100;0,20000;-1,00000;02:01.571;
170000;0,00100;0,20000;-0,95000;02:08.842;
180000;0,00100;0,20000;-1,00000;02:16.747;
190000;0,00100;0,20000;-1,00000;02:23.809;
200000;0,00100;0,20000;-0,95000;02:31.279;
210000;0,00100;0,20000;-1,00000;02:38.470;
220000;0,00100;0,20000;-0,95000;02:45.512;
230000;0,00100;0,20000;-1,00000;02:52.747;
240000;0,00100;0,20000;-1,00000;02:59.892;
250000;0,00100;0,20000;-1,00000;03:07.022;
260000;0,00100;0,20000;-1,00000;03:14.148;
270000;0,00100;0,20000;-1,00000;03:21.585;
280000;0,00100;0,20000;-1,00000;03:28.802;
290000;0,00100;0,20000;-1,00000;03:35.883;
300000;0,00100;0,20000;-0,90000;03:43.007;
310000;0,00100;0,20000;-0,95000;03:50.143;
320000;0,00100;0,20000;-0,95000;03:57.340;
330000;0,00100;0,20000;-1,00000;04:04.869;
340000;0,00100;0,20000;-1,00000;04:12.357;
350000;0,00100;0,20000;-0,90000;04:19.852;
360000;0,00100;0,20000;-0,90000;04:27.206;
370000;0,00100;0,20000;-1,00000;04:34.382;
380000;0,00100;0,20000;-0,95000;04:41.758;
390000;0,00100;0,20000;-1,00000;04:48.663;
400000;0,00100;0,20000;-0,95000;04:55.663;
410000;0,00100;0,20000;-0,95000;05:02.751;
420000;0,00100;0,20000;-0,95000;05:09.772;
430000;0,00100;0,20000;-0,90000;05:17.067;
440000;0,00100;0,20000;-0,90000;05:23.911;
450000;0,00100;0,20000;-0,95000;05:31.076;
460000;0,00100;0,20000;-0,95000;05:38.326;
470000;0,00100;0,20000;-0,90000;05:45.576;
480000;0,00100;0,20000;-0,95000;05:52.792;
490000;0,00100;0,20000;-0,95000;06:00.006;
500000;0,00100;0,20000;-1,00000;06:07.441;
510000;0,00100;0,20000;-1,00000;06:14.595;
520000;0,00100;0,20000;-1,00000;06:21.635;
530000;0,00100;0,20000;-0,75000;06:28.487;
540000;0,00100;0,20000;-0,85000;06:34.849;
550000;0,00100;0,20000;-0,85000;06:41.287;
560000;0,00100;0,20000;-1,00000;06:47.817;
570000;0,00100;0,20000;-0,90000;06:54.433;
580000;0,00100;0,20000;-0,85000;07:00.935;
590000;0,00100;0,20000;-1,00000;07:07.476;
600000;0,00100;0,20000;-0,90000;07:13.994;
610000;0,00100;0,20000;-0,95000;07:20.402;
620000;0,00100;0,20000;-0,95000;07:26.722;
630000;0,00100;0,20000;-1,00000;07:33.124;
640000;0,00100;0,20000;-1,00000;07:39.594;
650000;0,00100;0,20000;-0,95000;07:45.936;
660000;0,00100;0,20000;-1,00000;07:52.247;
670000;0,00100;0,20000;-1,00000;07:58.595;
680000;0,00100;0,20000;-0,95000;08:04.911;
690000;0,00100;0,20000;-1,00000;08:11.338;
700000;0,00100;0,20000;-1,00000;08:17.870;
710000;0,00100;0,20000;-1,00000;08:24.521;
720000;0,00100;0,20000;-0,95000;08:31.109;
730000;0,00100;0,20000;-1,00000;08:37.499;
740000;0,00100;0,20000;-1,00000;08:43.877;
750000;0,00100;0,20000;-1,00000;08:50.374;
760000;0,00100;0,20000;-0,95000;08:56.922;
770000;0,00100;0,20000;-1,00000;09:03.254;
780000;0,00100;0,20000;-0,90000;09:09.700;
790000;0,00100;0,20000;-0,90000;09:16.327;
800000;0,00100;0,20000;-1,00000;09:22.783;
810000;0,00100;0,20000;-1,00000;09:29.370;
820000;0,00100;0,20000;-1,00000;09:35.844;
830000;0,00100;0,20000;-1,00000;09:42.326;
